对冲发单时间,订单编号,合约代码,订单类型,对冲动作,对冲原因,对冲价格,对冲数量,对冲时持仓,对冲阈值,对冲价格偏移tick,买一价,卖一价,基准价,行情有效深度,市场价差
2025-03-03 09:00:02+08:00,BACKTESTING.13,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3296.4,2,-6,6,2,3295.0,3296.0,3292.634833914855,5,1.0
2025-03-03 09:00:03.500000+08:00,BACKTESTING.20,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3297.4,2,-6,6,2,3296.0,3297.0,3293.898849486923,5,1.0
2025-03-03 09:00:09+08:00,BACKTESTING.27,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3298.4,2,-6,6,2,3297.0,3298.0,3295.584506947902,5,1.0
2025-03-03 09:00:17+08:00,BACKTESTING.28,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3299.4,2,-6,6,2,3298.0,3299.0,3295.584506947902,5,1.0
2025-03-03 09:00:23+08:00,BACKTESTING.35,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3299.4,2,-6,6,2,3298.0,3299.0,3297.6550658797937,5,1.0
2025-03-03 09:00:31.500000+08:00,BACKTESTING.42,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3300.4,2,-6,6,2,3299.0,3300.0,3298.4278520480416,5,1.0
2025-03-03 09:00:32.500000+08:00,BACKTESTING.43,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3301.4,2,-6,6,2,3300.0,3301.0,3298.4278520480416,5,1.0
2025-03-03 09:00:54+08:00,BACKTESTING.50,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3301.4,2,-6,6,2,3300.0,3301.0,3299.880877977892,5,1.0
2025-03-03 09:09:18.500000+08:00,BACKTESTING.63,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3298.4,2,-6,6,2,3297.0,3298.0,3297.268473213645,5,1.0
2025-03-03 09:10:23.500000+08:00,BACKTESTING.70,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3299.4,2,-6,6,2,3298.0,3299.0,3298.2157194133574,5,1.0
2025-03-03 09:10:26+08:00,BACKTESTING.71,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3300.4,2,-6,6,2,3299.0,3300.0,3298.2157194133574,5,1.0
2025-03-03 09:12:01+08:00,BACKTESTING.78,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3300.4,2,-6,6,2,3299.0,3300.0,3299.3237273937793,5,1.0
2025-03-03 09:19:15.500000+08:00,BACKTESTING.91,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3305.4,2,-6,6,2,3304.0,3305.0,3304.158160799793,5,1.0
2025-03-03 09:39:27+08:00,BACKTESTING.98,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3306.4,2,-6,6,2,3305.0,3306.0,3305.705794739822,5,1.0
2025-03-03 09:39:29+08:00,BACKTESTING.99,fu2505.SHFE,HEDGE,BUY_CLOSE,short_position_exceed_threshold,3307.4,2,-6,6,2,3306.0,3307.0,3305.705794739822,5,1.0
2025-03-03 10:41:43+08:00,BACKTESTING.142,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3287.6,2,6,6,2,3288.0,3289.0,3289.2930690818557,5,1.0
2025-03-03 10:41:43.500000+08:00,BACKTESTING.143,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3286.6,2,6,6,2,3287.0,3288.0,3289.2930690818557,5,1.0
2025-03-03 10:43:01.500000+08:00,BACKTESTING.150,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3286.6,2,6,6,2,3287.0,3288.0,3287.656937856486,5,1.0
2025-03-03 10:59:46+08:00,BACKTESTING.163,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3281.6,2,6,6,2,3282.0,3283.0,3282.4876682179356,5,1.0
2025-03-03 11:00:00+08:00,BACKTESTING.170,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3280.6,2,6,6,2,3281.0,3282.0,3281.9424888116596,5,1.0
2025-03-03 11:27:34.500000+08:00,BACKTESTING.183,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3275.6,2,6,6,2,3276.0,3277.0,3276.6777026041905,5,1.0
2025-03-03 13:51:06.500000+08:00,BACKTESTING.202,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3265.6,2,6,6,2,3266.0,3267.0,3267.318091120029,5,1.0
2025-03-03 13:51:07+08:00,BACKTESTING.203,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3264.6,2,6,6,2,3265.0,3266.0,3267.318091120029,5,1.0
2025-03-03 14:42:58.500000+08:00,BACKTESTING.252,fu2505.SHFE,HEDGE,SELL_CLOSE,long_position_exceed_threshold,3259.6,2,6,6,2,3260.0,3261.0,3260.489422065728,5,1.0
