挂单时间,订单编号,合约代码,订单类型,报价方向,报价档位,拆单序号,挂单价格,挂单数量,报价模式,报价偏移,策略报价档数,定价使用深度,行情有效深度,基准价,买一价,卖一价,挂单时持仓
2025-03-03 08:59:00.500000+08:00,BACKTESTING.1,fu2505.SHFE,MM,buy,1,1,3288.6000000000004,1,tick,3.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 08:59:00.500000+08:00,BACKTESTING.2,fu2505.SHFE,MM,buy,2,1,3288.2000000000003,1,tick,5.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 08:59:00.500000+08:00,BACKTESTING.3,fu2505.SHFE,MM,buy,3,1,3287.8,1,tick,7.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 08:59:00.500000+08:00,BACKTESTING.4,fu2505.SHFE,MM,sell,1,1,3290.0,1,tick,3.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 08:59:00.500000+08:00,BACKTESTING.5,fu2505.SHFE,MM,sell,2,1,3290.4,1,tick,5.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 08:59:00.500000+08:00,BACKTESTING.6,fu2505.SHFE,MM,sell,3,1,3290.8,1,tick,7.0,3,5,5,3289.3384269288454,3289.0,3290.0,0
2025-03-03 09:00:01+08:00,BACKTESTING.7,fu2505.SHFE,MM,buy,1,1,3290.4,1,tick,3.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:01+08:00,BACKTESTING.8,fu2505.SHFE,MM,buy,2,1,3290.0,1,tick,5.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:01+08:00,BACKTESTING.9,fu2505.SHFE,MM,buy,3,1,3289.6,1,tick,7.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:01+08:00,BACKTESTING.10,fu2505.SHFE,MM,sell,1,1,3295.2,1,tick,3.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:01+08:00,BACKTESTING.11,fu2505.SHFE,MM,sell,2,1,3295.2,1,tick,5.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:01+08:00,BACKTESTING.12,fu2505.SHFE,MM,sell,3,1,3295.2,1,tick,7.0,3,5,5,3290.937699275394,3293.0,3295.0,-3
2025-03-03 09:00:03+08:00,BACKTESTING.14,fu2505.SHFE,MM,buy,1,1,3292.8,1,tick,3.0,3,5,5,3293.2718704592344,3295.0,3296.0,-4
2025-03-03 09:00:03+08:00,BACKTESTING.15,fu2505.SHFE,MM,buy,2,1,3292.4,1,tick,5.0,3,5,5,3293.2718704592344,3295.0,3296.0,-4
2025-03-03 09:00:03+08:00,BACKTESTING.16,fu2505.SHFE,MM,buy,3,1,3292.0,1,tick,7.0,3,5,5,3293.2718704592344,3295.0,3296.0,-4
2025-03-03 09:00:03+08:00,BACKTESTING.17,fu2505.SHFE,MM,sell,1,1,3296.2,1,tick,3.0,3,5,5,3293.2718704592344,3295.0,3296.0,-4
2025-03-03 09:00:03+08:00,BACKTESTING.18,fu2505.SHFE,MM,sell,2,1,3296.2,1,tick,5.0,3,5,5,3293.2718704592344,3295.0,3296.0,-4
