成交时间,订单编号,合约代码,成交方向,开平,成交价格,成交数量,报价方向,报价档位,拆单序号,挂单价格,挂单数量,报价模式,报价偏移,策略报价档数,定价使用深度,行情有效深度,基准价,买一价,卖一价,成交后持仓,成交计数
2025-03-03 09:00:00.500000+08:00,BACKTESTING.4,fu2505.SHFE,空,开,3291.0,1,sell,1,1,3290.0,1,tick,3.0,3,5,5,3289.3384269288454,3289.0,3290.0,-1,1
2025-03-03 09:00:00.500000+08:00,BACKTESTING.5,fu2505.SHFE,空,开,3291.0,1,sell,2,1,3290.4,1,tick,5.0,3,5,5,3289.3384269288454,3289.0,3290.0,-2,2
2025-03-03 09:00:00.500000+08:00,BACKTESTING.6,fu2505.SHFE,空,开,3291.0,1,sell,3,1,3290.8,1,tick,7.0,3,5,5,3289.3384269288454,3289.0,3290.0,-3,3
2025-03-03 09:00:02.500000+08:00,BACKTESTING.10,fu2505.SHFE,空,开,3296.0,1,sell,1,1,3295.2,1,tick,3.0,3,5,5,3290.937699275394,3293.0,3295.0,-4,4
2025-03-03 09:00:02.500000+08:00,BACKTESTING.11,fu2505.SHFE,空,开,3296.0,1,sell,2,1,3295.2,1,tick,5.0,3,5,5,3290.937699275394,3293.0,3295.0,-5,5
2025-03-03 09:00:02.500000+08:00,BACKTESTING.12,fu2505.SHFE,空,开,3296.0,1,sell,3,1,3295.2,1,tick,7.0,3,5,5,3290.937699275394,3293.0,3295.0,-6,6
2025-03-03 09:00:03+08:00,BACKTESTING.13,fu2505.SHFE,多,平,3296.0,2,,,,,,,,,,,,,,-4,7
2025-03-03 09:00:04+08:00,BACKTESTING.17,fu2505.SHFE,空,开,3298.0,1,sell,1,1,3296.2,1,tick,3.0,3,5,5,3293.2718704592344,3295.0,3296.0,-5,8
2025-03-03 09:00:04+08:00,BACKTESTING.18,fu2505.SHFE,空,开,3298.0,1,sell,2,1,3296.2,1,tick,5.0,3,5,5,3293.2718704592344,3295.0,3296.0,-6,9
2025-03-03 09:00:04+08:00,BACKTESTING.19,fu2505.SHFE,空,开,3298.0,1,sell,3,1,3296.2,1,tick,7.0,3,5,5,3293.2718704592344,3295.0,3296.0,-7,10
